year,MÃ¤nner,Frauen
2022,34784.26,30771.46
2021,35768.962980000004,31712.991900000005
2020,36060.02305632001,31907.08577304001
2019,35784.81015290065,31111.63395361633
2018,35124.33973039992,30574.65248754986
2017,35239.057485439844,30560.35686174628
2016,35390.04611752757,30628.85214253259
2015,33877.70948096775,29027.10818314565
2014,33640.80590398093,28622.531697595485
2013,33712.322152914036,28610.347928759023
2012,33669.47432142142,28489.168297455828
2011,33748.52989596119,28514.38427614809
2010,34347.842409903606,28833.426863930777
2009,34623.525824489705,28953.93615592184
2008,33437.64416677607,27562.108885410238
2007,33761.92356586343,27676.26104712203
2006,33787.48788066115,27642.76201486388
2005,33460.85567832304,27348.22085683574
2004,33174.905450418744,26878.127312583885
